group1,group2,meandiff,p-adj,lower,upper,reject
10,14,-0.7106,0.1271,-1.5563,0.1352,False
10,15,0.4614,0.4951,-0.3844,1.3072,False
10,16,0.5293,0.3628,-0.3164,1.3751,False
10,20,0.1785,0.9681,-0.6672,1.0243,False
14,15,1.1719,0.0041,0.3262,2.0177,True
14,16,1.2399,0.0024,0.3941,2.0857,True
14,20,0.8891,0.0364,0.0433,1.7349,True
15,16,0.0679,0.9992,-0.7778,0.9137,False
15,20,-0.2829,0.8519,-1.1286,0.5629,False
16,20,-0.3508,0.7282,-1.1966,0.495,False
