timestep,alpha,beta,K,C,alignment_cost,path_cost,collision_cost,control_cost,total_cost,collisions
0,1.0828485598044624,0.22418595504193203,0.8,0.7,0.005766660387055495,0.9780591253593522,0.0,1.4223711703989634,2.4061969561453713,0
1,1.0601994934439947,0.22469171696177148,0.8,0.7,0.00581827403221985,0.9630282391118853,0.0,1.3682400214973442,4.743283490786821,0
2,1.0400466780543818,0.2558725627067217,0.8,0.7,0.005696817215074709,0.9461132461638952,0.0,1.3433767704283905,7.038470324594181,0
3,1.027189022649436,0.28699224234450343,0.8,0.7,0.005639321947078775,0.9292600854661903,3.8361987315242136,1.2482441778241162,13.05781264135578,0
4,1.0195825945309884,0.3180552749145124,0.5594158365332367,0.5733021931613509,0.005577957250092694,0.9124838674526643,5.155056788393021,1.104182640914855,20.23511389536641,0
5,1.0168168676495597,0.34895182397966085,0.33789517064885144,0.4056269995604514,0.005492667755818936,0.8957952358756569,6.895686942788272,0.8465655659048931,28.87865430769105,0
6,1.0142508541812416,0.37936968790166387,0.45024081254118326,0.47975236636741947,0.005293219424936938,0.8792224302291406,13.40505960637477,0.72803283775491,43.89626240147481,0
7,1.012012335206847,0.3273428749445723,0.4187874359746169,0.45577631069741686,0.006260290666270322,0.841640201668981,5.094757535420278,0.6841221495527938,50.523042578783134,1
8,1.0096475645374106,0.34772158620961313,0.35817007540826357,0.40266649211062977,0.0060455973154796665,0.8258811294404205,5.983037586493898,0.6085732504866352,57.946580142519565,1
9,1.007386381375925,0.36452579603816126,0.27112807935765804,0.33105951867932104,0.005633846734678833,0.8105708905204878,6.695672613801374,0.5047786398376747,65.96323613341377,1
10,1.005258209718795,0.37629204891611256,0.5601262034694232,0.5292483609976207,0.0051956167165971385,0.7955409770841602,7.33847449716044,0.6433173301506945,74.74576455452566,1
11,1.003272166642714,0.3858768522253708,0.8,0.7,0.0047128952873425785,0.7806537314593132,7.60599474706267,0.971707670609714,84.1088335989447,1
12,1.0013916140226926,0.3896206352759639,0.8,0.7,0.004367300580591176,0.7661906909334733,7.432314840550923,1.0370485297190226,93.34875496072871,1
13,0.999527036023211,0.387205408147368,0.8,0.7,0.0055355224466088655,0.7520908057496345,6.864157226237575,1.018147586186172,101.9886861013487,1
14,0.99762109879277,0.37889051149823133,0.8,0.7,0.005495898110056609,0.7383845752209907,6.038121562810455,0.9999125670043322,109.77060070449454,1
15,0.9956167927555598,0.3654840267543693,0.8,0.7,0.004773685286357691,0.72583513995634,5.106700735900985,0.9832368576411262,116.59114712327934,1
16,0.9935162005535846,0.34796640614326596,0.8,0.7,0.0048641401002191935,0.7135095486560608,4.191482030099732,0.9677473865784145,122.46875022871377,1
17,0.991280508479454,0.3273162476163018,0.8,0.7,0.004955731828998442,0.7014021649590072,0.0,0.9516617100238389,124.12676983552562,1
18,0.9888967743737425,0.3043298359515887,0.8,0.7,0.005064760939475686,0.6894887765308327,0.0,0.9358410182269922,125.75716439122291,1
19,0.9863644884774996,0.2796074442978456,0.8,0.7,0.005164415005837288,0.6777525901119261,0.0,0.9202081234876949,127.36028951982837,1
20,0.9837086777711403,0.25358639702996705,0.8,0.7,0.005291226039327739,0.666312167086246,0.0,0.9047790773075453,128.9366719902615,1
21,0.9809436373694504,0.22658204544184918,0.8,0.7,0.0055140446894061225,0.6553550421161863,0.0,0.8897341054400647,130.48727518250715,1
22,0.9781226071237147,0.19882241317697383,0.8,0.7,0.006063213179047289,0.6449451296296325,0.0,0.8753401028893081,132.01362362820512,1
23,0.9753064545724841,0.17047395890509073,0.8,0.7,0.006757819560899621,0.6347696993721462,0.0,0.8616262200437266,133.5167773671819,1
24,0.9725808045356628,0.1416597578992893,0.8,0.7,0.006875666439727077,0.6259631807022292,0.0,0.8471912415665105,134.99680745589038,1
25,0.9700537079026588,0.13702073549399746,0.8,0.7,0.0067263853387179206,0.6137705929031241,0.0,0.8344967251092846,136.4518011592415,1
26,0.9675077320612587,0.13750443536359136,0.8,0.7,0.006852992621234672,0.6026151573889874,0.0,0.8162197273247287,137.87748903657646,1
27,0.9682606330552853,0.13602726826864034,0.8,0.7,0.007199082158104046,0.5919910542204854,0.0,0.814794538922,139.29147371187705,1
28,0.9675295853972715,0.132628516737496,0.8,0.7,0.007246688942052279,0.5811242398928886,0.0,0.7954045888449902,140.67524922955698,1
29,1.01716740510112,0.12736998746270187,0.8,0.7,0.00611886402088324,0.5708037002252763,0.0,0.7858150596282757,142.03798685343142,1
30,1.1796137410770005,0.12033269784251173,0.8,0.7,0.005915122949153521,0.5617725750870113,0.0,0.7757999554464793,143.38147450691406,1
31,0.9688496578567675,0.11161299293228241,0.8,0.7,0.005645385967697806,0.551543710657941,0.0,0.7593245153948016,144.6979881189345,1
32,1.158039827160673,0.1013179880518019,0.8,0.7,0.006193661465252059,0.5414646357763885,0.0,0.7369851956144748,145.9826316117906,1
33,1.0748504930280145,0.08956151459092129,0.8,0.7,0.007993980914116662,0.5315775974255222,0.0,0.727402258076206,147.24960544820644,1
34,1.1010267762258135,0.07646007852887532,0.8,0.7,0.0063746340094556295,0.5221237371888434,0.0,0.7043079401662944,148.48241175957102,1
35,1.114608873683513,0.06212949706373648,0.8,0.7,0.008508573349433165,0.5125695931766789,0.0,0.7037105395044807,149.7072004656016,1
36,0.9821735990855777,0.04668283378598173,0.8,0.7,0.006670210802290905,0.5037861287658504,0.0,0.6746318495231849,150.89228865469292,1
37,0.9671196598801471,0.2788218786224305,0.8,0.7,0.008930105222576666,0.4945883109138145,0.0,0.675130224810483,152.0709372956398,1
38,1.0028678176401982,0.2788218786224305,0.8,0.7,0.006591565725382973,0.48645298655510516,0.0,0.6487464007013876,153.21272824862166,1
