Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
84,1.0,0.0,0.016931757,0.016931757,5.2587256529739546e-11,0.24244133992602263,0.0,0.0062825836133906954,20.846060183518713,0
85,1.0,0.0,0.016931757,0.016931757,5.481573472057044e-11,0.2495565534003935,0.0,0.0064535200031355655,21.102070256977058,0
86,1.0,0.0,0.016931757,0.016931757,5.6187624968435325e-11,0.2566015168897891,0.0,0.006622560979995928,21.36529433490303,0
87,1.0,0.0,0.016931757,0.016931757,5.6751284164465487e-11,0.26333033850816123,0.0,0.006783489397643261,21.635408162865588,0
88,1.0,0.0,0.016931757,0.016931757,5.662290096469167e-11,0.2697539123338848,0.0,0.006936592459268736,21.912098667715362,0
89,1.0,0.0,0.016931757,0.016931757,5.590990519628149e-11,0.2758973445642176,0.0,0.007082516248075916,22.195078528583565,0
90,1.0,0.0,0.016931757,0.016931757,5.47101873834269e-11,0.28178244094818516,0.0,0.0072218223763171815,22.484082791962777,0
91,1.0,0.0,0.016931757,0.016931757,5.3111547423066306e-11,0.287428297568951,0.0,0.007355003069323561,22.778866092654162,0
92,1.0,0.0,0.016931757,0.016931757,5.119212446255343e-11,0.292851760910027,0.0,0.007482492908551048,23.079200346523933,0
93,1.0,0.0,0.016931757,0.016931757,4.902103718526233e-11,0.2980677910715668,0.0,0.007604678106277652,23.3848728157508,0
94,1.0,0.0,0.016931757,0.016931757,4.5672661522393534e-11,0.3030897526171025,0.0,0.007721902813405084,23.69568447122698,0
95,1.0,0.0,0.016931757,0.016931757,4.219048507883042e-11,0.3079296479446173,0.0,0.007834478380940802,24.01144859759473,0
96,1.0,0.0,0.016931757,0.016931757,3.987373835582331e-11,0.3125983087604149,0.0,0.007942686281200859,24.33198959267622,0
97,1.0,0.0,0.016931757,0.016931757,3.6183093625899626e-11,0.31710555582183114,0.0,0.008046779043834176,24.657141927578067,0
98,1.0,0.0,0.016931757,0.016931757,3.39083580143603e-11,0.32146032759862886,0.0,0.008146989157693766,24.986749244368298,0
