timestep,alpha,beta,K,C,alignment_cost,path_cost,collision_cost,control_cost,total_cost,collisions
0,0.29429216619443094,0.10356598705304293,0.6441851142026989,0.18107125291819673,0.0015203461510316229,2.515585913102868,0.0,0.46542575118265705,2.982532010436557,0
1,0.29478066243790085,0.10356598705304293,0.8,0.2683218612536551,5.8451506408151666e-05,2.6507003259785087,0.0,0.8036528624122201,6.436943650333694,2
2,0.2930872009271229,0.10356598705304293,0.8,0.369884649313532,5.695597016498542e-05,2.6372642983683043,0.0,1.105756868031729,10.180021772703892,2
3,0.29268551994281206,0.10356598705304293,0.8,0.5098900744000815,5.5883311882080925e-05,2.623840533475658,0.0,1.5163462286474934,14.320264418138926,2
4,0.2924114236983596,0.10356598705304293,0.8,0.6922549908914105,5.488346860095941e-05,2.6104303217422498,0.0,2.076733348532456,19.007482971882233,2
5,0.29232942620393615,0.10356598705304293,0.8,0.7,5.432975611744705e-05,2.5970326732751214,0.0,2.3756141668295245,23.980184141742996,2
6,0.292304000461393,0.10356598705304293,0.8,0.7,5.342034618853505e-05,2.5836500308206043,0.0,2.3634120288277636,28.927299621737554,2
7,0.292275950378895,0.10356598705304293,0.8,0.7,5.25185176199382e-05,2.570282586902268,0.0,2.3512234497724527,33.848858176929895,2
8,0.29224815216681915,0.10356598705304293,0.8,0.7,5.162990879269099e-05,2.5569304916391213,0.0,2.3390497950497253,38.74489009352753,2
9,0.29222047062271445,0.10356598705304293,0.8,0.7,5.075405661678635e-05,2.543593897564152,0.0,2.326890968840608,43.615425713988905,2
10,0.29219291904584677,0.10356598705304293,0.8,0.7,4.989084764885508e-05,2.530272957633855,0.0,2.314746967389404,48.46049552985981,2
11,0.29216550342884773,0.10356598705304293,0.8,0.7,4.9040193759343413e-05,2.516967825421025,0.0,2.3026178134534665,53.280130208928064,2
12,0.292138230196056,0.10356598705304293,0.8,0.7,4.820203615538942e-05,2.5036786551776955,0.0,2.290503552279885,58.0743606184218,2
13,0.29211110581251654,0.10356598705304293,0.8,0.7,4.737633694420407e-05,2.4904056018865064,0.0,2.2784042465951475,62.843217843240396,2
