timestep,alpha,beta,K,C,alignment_cost,path_cost,collision_cost,control_cost,total_cost,collisions
0,0.09957412012500323,0.738132834426771,0.8,0.016721681332965057,0.013648672705097706,2.2196609195103303,0.0,0.04381954420519624,2.277129136420624,2
1,0.11920929490329724,0.738132834426771,0.8,0.025940816070429938,0.00043567688349565394,2.373343571864906,0.0,0.05896025131173263,4.709868636480758,5
2,0.10372749900859872,0.738132834426771,0.8,0.040242719915566896,0.00018733374387563658,2.362953968998751,0.0,0.07535210160415586,7.148362040827541,5
3,0.11273341350725748,0.738132834426771,0.8,0.062429666892739495,0.00010675978306308491,2.35261329224547,0.0,0.11162125177455785,9.612703344630631,5
4,0.10734713703217934,0.738132834426771,0.8,0.09684890376484659,5.495172228268808e-05,2.342015963407645,0.0,0.1693794715989415,12.1241537313595,5
5,0.10808402844029395,0.738132834426771,0.8,0.15024443709699448,5.256038978086748e-05,2.3314870566284487,0.0,0.26094007976022576,14.716633428137957,5
6,0.10692797705660717,0.738132834426771,0.8,0.216823220878868,5.1619884937933053e-05,2.320961854199496,0.0,0.39556326087223914,17.43321016309463,5
7,0.10623142549686977,0.738132834426771,0.8,0.2707824915804019,5.0281916562565085e-05,2.3104603456998363,0.0,0.5117031932359132,20.25542398394694,5
8,0.10552748565721473,0.738132834426771,0.8,0.3381702266449297,4.913724107523244e-05,2.2999802450480242,0.0,0.6361921035303504,23.19164546976639,5
9,0.1048618936766918,0.738132834426771,0.8,0.42232827359566233,4.800847832231464e-05,2.289521678145077,0.0,0.7909574155980457,26.272172571987834,5
10,0.1042231068422477,0.738132834426771,0.8,0.5274301420555494,4.689940278029712e-05,2.2790846250843164,0.0,0.983361379545694,29.534665476020624,5
11,0.10360629860573305,0.738132834426771,0.8,0.6586879736474127,4.580942260623536e-05,2.2686690641881344,0.0,1.222554666599108,33.02593501623047,5
12,0.10300717579560734,0.738132834426771,0.8,0.7,4.474453840338901e-05,2.258274781506397,0.0,1.4176547727071023,36.70190931498237,5
13,0.1024173709495527,0.738132834426771,0.8,0.7,4.365491093390642e-05,2.247903019678061,0.0,1.422679626476021,40.37253561604739,5
14,0.11260486574691793,0.738132834426771,0.8,0.7,4.2610819047660674e-05,2.237552670403527,0.0,1.4161478079235539,44.02627870519351,5
15,0.12338926886074528,0.738132834426771,0.8,0.7,4.153125690546628e-05,2.227223103116459,0.0,1.409627407796105,47.66317074736298,5
16,0.1323949862334917,0.738132834426771,0.8,0.7,4.054382691605262e-05,2.2170626965610682,0.0,1.4031427378245156,51.283416725575485,5
17,0.13552469347741625,0.738132834426771,0.8,0.7,3.96097388817023e-05,2.2078645374049026,0.0,1.3968037606747163,54.888124633393986,5
18,0.1348757499828207,0.738132834426771,0.8,0.7,3.832483289890689e-05,2.198693068121305,0.0,1.39097783874414,58.47783386509233,5
19,0.13424662726203201,0.738132834426771,0.8,0.7,3.7122716311847356e-05,2.1895482363400833,0.0,1.3851960872272977,62.05261531137602,5
20,0.13362802206195562,0.738132834426771,0.8,0.7,3.5946304518472055e-05,2.180429980337969,0.0,1.3794314115527295,65.61251264957124,5
21,0.13301908210521166,0.738132834426771,0.8,0.7,3.47973384709852e-05,2.1723342695505963,0.0,1.3736838840912164,69.15856560055153,5
22,0.1324188351307582,0.738132834426771,0.8,0.7,3.361120936335777e-05,2.1648991988638646,0.0,1.3685235405120701,72.69202195113682,5
23,0.13182645786498529,0.738132834426771,0.8,0.7,3.2597737313230604e-05,2.1574898603388433,0.0,1.3638364504628868,76.21338085967587,5
24,0.13124124031990772,0.738132834426771,0.8,0.7,3.160320402627539e-05,2.150106179586571,0.0,1.3591653349101704,79.72268397737663,5
25,0.13066256410764682,0.738132834426771,0.8,0.7,3.0631877914962155e-05,2.142748059917271,0.0,1.3545105686452688,83.21997323781709,5
26,0.13008988917156158,0.738132834426771,0.8,0.7,2.968326815353767e-05,2.1354154024157626,0.0,1.3498720428496187,86.70529036635062,5
27,0.12952274065543418,0.738132834426771,0.8,0.7,2.8757051906410135e-05,2.128108105321321,0.0,1.3452496704908112,90.17867689921466,5
28,0.1289606989603318,0.738132834426771,0.8,0.7,2.785290118443318e-05,2.1208260641473724,0.0,1.3406433653959866,93.6401741816592,5
29,0.1284033916903056,0.738132834426771,0.8,0.7,2.6970488466074647e-05,2.113569171766341,0.0,1.3360530423013324,97.08982336621534,5
30,0.12785048704988694,0.738132834426771,0.8,0.7,2.610948620276824e-05,2.1063373184900565,0.0,1.3314786163185783,100.52766541051018,5
31,0.12730168838790187,0.738132834426771,0.8,0.7,2.5269566645180422e-05,2.099130392146303,0.0,1.3269200025378203,103.95374107476096,5
32,0.1267567296526499,0.738132834426771,0.8,0.7,2.4450401737022797e-05,2.0919482781528207,0.0,1.3223771157120794,107.3680909190276,5
33,0.12621537157858234,0.738132834426771,0.8,0.7,2.365166306530812e-05,2.084790859589718,0.0,1.3178498700043255,110.7707553002847,5
34,0.12567739846511958,0.738132834426771,0.8,0.7,2.287302185279404e-05,2.077658017271115,0.0,1.3133381787820284,114.1617743693597,5
35,0.12514261543857227,0.738132834426771,0.8,0.7,2.2114148982272345e-05,2.0705496298166666,0.0,1.3088419544481302,117.54118806777349,5
36,0.12461084611109476,0.738132834426771,0.8,0.7,2.1310495060619432e-05,2.0634655219875313,0.0,1.304308592834112,120.90898349309019,5
37,0.12412784576738359,0.738132834426771,0.8,0.7,2.0592252794791517e-05,2.056405630353835,0.0,1.2998424431348878,124.26525215883171,5
38,0.12364659075272826,0.738132834426771,0.8,0.7,1.9890184327080645e-05,2.0493698319644658,0.0,1.2953910453755546,127.61003292635606,5
39,0.12316870655412278,0.738132834426771,0.8,0.7,1.9206634832425227e-05,2.0423579973587094,0.0,1.2909547204019105,130.9433648507515,5
40,0.12269408599093375,0.738132834426771,0.8,0.7,1.8541177754571432e-05,2.035369995468036,0.0,1.2865333545230935,134.26528674192036,5
41,0.12222269756281637,0.738132834426771,0.8,0.7,1.789348519678409e-05,2.0284056935148747,0.0,1.2821268497666152,137.57583717868704,5
42,0.12324638906526433,0.738132834426771,0.8,0.7,1.7261195843248197e-05,2.0214649713212958,0.0,1.27773382180043,140.87505323300462,5
43,0.12430495582297812,0.738132834426771,0.8,0.7,1.6645979508809048e-05,2.014547693736058,0.0,1.2733553393630619,144.16297291208326,5
44,0.12534777728044316,0.738132834426771,0.8,0.7,1.6047498422445038e-05,2.0076537244677737,0.0,1.2689913293361694,147.43963401338561,5
45,0.12637400751108158,0.738132834426771,0.8,0.7,1.546542805954661e-05,2.000782926018091,0.0,1.2646416870646346,150.7050740918964,5
46,0.12738273059847594,0.738132834426771,0.8,0.7,1.4899445691498174e-05,1.9939351597946808,0.0,1.2603063067549483,153.95933045789172,5
47,0.12837295331404033,0.738132834426771,0.8,0.7,1.4349231211385295e-05,1.9871102862273873,0.0,1.255985081890262,157.20244017524058,5
48,0.12934359774932305,0.738132834426771,0.8,0.7,1.381446784453268e-05,1.9803081648895997,0.0,1.2516779057434102,160.43444006034144,5
49,0.1302934937376122,0.738132834426771,0.8,0.7,1.3294843019842639e-05,1.9735286546239394,0.0,1.247384672054487,163.6553666818629,5
50,0.1312213713377243,0.738132834426771,0.8,0.7,1.279004942193637e-05,1.9667716136707654,0.0,1.2431052759093737,166.86525636149244,5
51,0.1321258537773535,0.738132834426771,0.8,0.7,1.229810172330739e-05,1.9600370930735047,0.0,1.2388345687468378,170.0641403214145,5
52,0.1330054514404941,0.738132834426771,0.8,0.7,1.1822081048995889e-05,1.9533247433619456,0.0,1.234583187041047,173.25206007389855,5
53,0.1338585577305255,0.738132834426771,0.8,0.7,1.1359932645397458e-05,1.9466344343748254,0.0,1.2303450173503891,176.42905088555642,5
54,0.13468344795749979,0.738132834426771,0.8,0.7,1.0911489853788227e-05,1.9399660222380655,0.0,1.2261203219717218,179.59514814125606,5
55,0.13547828278816812,0.738132834426771,0.8,0.7,1.0476487119091136e-05,1.9333193638422743,0.0,1.2219090043003307,182.7503869858858,5
56,0.13624111824934654,0.738132834426771,0.8,0.7,1.0054682258750176e-05,1.926694315975328,0.0,1.2177110019527748,185.89480235849615,5
57,0.13696992475206632,0.738132834426771,0.8,0.7,9.645850210390989e-06,1.9200907353367507,0.0,1.2135262658019468,189.02842900548507,5
58,0.137662618024264,0.738132834426771,0.8,0.7,9.249784714921339e-06,1.913508478407202,0.0,1.2093547632294577,192.15130149690643,5
