timestep,alpha,beta,K,C,alignment_cost,path_cost,collision_cost,control_cost,total_cost,collisions
0,0.24022976498755985,0.10356598705304293,0.6441851142026989,0.18107125291819673,0.005653060041154597,2.143306762364157,0.0,0.3690722845641969,2.518032106969508,0
1,0.26372400935858237,0.10356598705304293,0.8,0.26177742561332207,4.278905461751757e-05,2.284282822611806,0.0,0.6325123128709168,5.434870031506849,3
2,0.2626606374214711,0.10356598705304293,0.8,0.35206153414732366,4.166263720842109e-05,2.27263477893748,0.0,0.8504599710102754,8.558006444091813,3
3,0.2617016247335729,0.10356598705304293,0.8,0.47348362272174244,3.8986505652104005e-05,2.2610566732372757,0.0,1.1375062877920639,11.956608391626805,3
4,0.26077100199084685,0.10356598705304293,0.8,0.6367828326621222,3.815151395659865e-05,2.2495014827792814,0.0,1.5220919449366386,15.72823997085668,3
5,0.25986454801233805,0.10356598705304293,0.8,0.7,3.708219523686379e-05,2.2382141175081816,0.0,1.8683597010401556,19.834850871600253,3
6,0.2589643147109003,0.10356598705304293,0.8,0.7,3.606599770353968e-05,2.227658201982814,0.0,1.880027734514095,23.942572874094864,3
7,0.25805451120859635,0.10356598705304293,0.8,0.7,3.516866748083936e-05,2.217129558253649,0.0,1.8711667885485077,28.0309043895645,3
8,0.25713540927598866,0.10356598705304293,0.8,0.7,3.428935760915828e-05,2.2066284353753303,0.0,1.8623268870996064,32.09989400139705,3
9,0.2562068341614153,0.10356598705304293,0.8,0.7,3.343196042854933e-05,2.1961549936307283,0.0,1.8535100669229376,36.14959249391114,3
10,0.255268629015087,0.10356598705304293,0.8,0.7,3.2595995106814064e-05,2.185709399097732,0.0,1.844716320190758,40.18005080919474,3
11,0.25432063432731933,0.10356598705304293,0.8,0.7,3.152496290964865e-05,2.1752991586747177,0.0,1.8358250185091047,44.19120651134147,3
12,0.25336268888781666,0.10356598705304293,0.8,0.7,3.071143872711107e-05,2.1649182954508848,0.0,1.82707289632743,48.18322841455851,3
13,0.26492514294438835,0.10356598705304293,0.8,0.7,2.987772474812992e-05,2.1545694407839004,0.0,1.8183264884306447,52.15615422149781,3
14,0.28299781993708967,0.10356598705304293,0.8,0.7,2.9054857863292474e-05,2.144256996087147,0.0,1.8095979808077636,56.11003825325058,3
15,0.30059062953683574,0.10356598705304293,0.8,0.7,2.8548918515945986e-05,2.134261631938658,0.0,1.8010126982655945,60.045341132373345,3
16,0.24938227659680592,0.10356598705304293,0.8,0.7,3.9888337012916924e-05,2.242926093844708,0.0,1.578032097734187,63.866339212289255,5
17,0.2483108784143893,0.10356598705304293,0.8,0.7,3.855314016179951e-05,2.2315424703757976,0.0,1.570031651750503,67.66795188755572,5
18,0.24723124304975674,0.10356598705304293,0.8,0.7,3.708613523369712e-05,2.2201903940818806,0.0,1.5619706967782565,71.45015006455108,5
19,0.24613952004017656,0.10356598705304293,0.8,0.7,3.5842773647745605e-05,2.208870410869974,0.0,1.554027085713977,75.21308340390868,5
20,0.24503570389634977,0.10356598705304293,0.8,0.7,3.4618828633625664e-05,2.197582791499469,0.0,1.5461002829609152,78.9568010971977,5
21,0.24391958901026872,0.10356598705304293,0.8,0.7,3.342698911692049e-05,2.186327788120322,0.0,1.538196443880346,82.68135875618748,5
22,0.24279097776993103,0.10356598705304293,0.8,0.7,3.226622101388891e-05,2.1751056544925116,0.0,1.530315364394086,86.38681204129509,5
23,0.24164966978191524,0.10356598705304293,0.8,0.7,3.113633267705043e-05,2.1639166445991314,0.0,1.5224572428119996,90.07321706503889,5
24,0.24049546241856617,0.10356598705304293,0.8,0.7,3.0037065273716686e-05,2.152761012712511,0.0,1.5146222520353205,93.74063036685199,5
25,0.23932815077931754,0.10356598705304293,0.8,0.7,2.8968149797107262e-05,2.141639013363007,0.0,1.5068105665933944,97.38910891495819,5
26,0.2381475276860107,0.10356598705304293,0.8,0.7,2.7929303729525183e-05,2.1305509013151265,0.0,1.4990223608955255,101.01871010647257,5
27,0.2369533836799164,0.10356598705304293,0.8,0.7,2.692023151873446e-05,2.119496931543982,0.0,1.4912578093123179,104.62949176756038,5
28,0.2357455070223149,0.10356598705304293,0.8,0.7,2.5940624845320788e-05,2.1084773592126664,0.0,1.4835170861411364,108.22151215353902,5
29,0.23711867471691067,0.10356598705304293,0.8,0.7,2.4988326714895093e-05,2.0974924530606045,0.0,1.475799840894381,111.79482943582073,5
30,0.23930558710910124,0.10356598705304293,0.8,0.7,2.4064355615275053e-05,2.086542473001765,0.0,1.4681065953004073,115.34950256847851,5
31,0.2414779611099141,0.10356598705304293,0.8,0.7,2.3168885905156043e-05,2.0756276756003103,0.0,1.46043765864689,118.88559107161161,5
32,0.24363448567491344,0.10356598705304293,0.8,0.7,2.23015384751452e-05,2.064748317864766,0.0,1.4527931948672979,122.40315488588216,5
33,0.24577368577152792,0.10356598705304293,0.8,0.7,2.1461952901948046e-05,2.0539046569943347,0.0,1.445173379656853,125.90225438448626,5
34,0.24789401514077147,0.10356598705304293,0.8,0.7,2.0649757381018444e-05,2.0430969503867544,0.0,1.4375783883278959,129.38295037295828,5
35,0.2499938457296839,0.10356598705304293,0.8,0.7,1.986457147677868e-05,2.0323254556315553,0.0,1.4300083968519208,132.84530409001323,5
36,0.2520714640433837,0.10356598705304293,0.8,0.7,1.9105421474557923e-05,2.0215906130729984,0.0,1.4224633465845156,136.2893771550922,5
37,0.25412506715686045,0.10356598705304293,0.8,0.7,1.8373370743835925e-05,2.0108924257869623,0.0,1.414944182141403,139.7152321363913,5
