Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
0,0.99529785,0.0,0.009899652,0.009899652,0.032567300788367594,1.20390920338692,0.0,0.037053844005481645,1.2735303481807694,0
1,0.995296,0.0,0.009899652,0.009899652,0.006997387730657259,1.1974689775659344,0.0,0.03146764174866345,2.5094643552260245,0
2,0.9952973,0.0,0.009899652,0.009899652,0.0036859158679286895,1.1910442205553695,0.0,0.03833393589319617,3.742528427542519,0
3,0.99529725,0.0,0.009899652,0.009899652,0.003544501020151027,1.1840510733007477,0.0,0.038965885123204855,4.969089886986622,0
4,0.9952973,0.0,0.009899652,0.009899652,0.001461001729633258,1.1765451828633615,0.0,0.024001669429795768,6.1710977410094126,0
5,0.9952975,0.0,0.009899652,0.009899652,0.0008081100378461253,1.1687247496458075,0.0,0.020751019516232403,7.361381620209299,0
6,0.9952944,0.0,0.009899652,0.009899652,0.003341479137164969,1.1617498445423198,0.0,0.03131167135472727,8.557784615243511,0
7,0.99529713,0.0,0.009899652,0.009899652,0.0010032525430575194,1.1543110079366516,0.0,0.020472423775530216,9.73357129949875,0
8,0.9952972,0.0,0.009899652,0.009899652,0.0010160790990792169,1.1469081334337743,0.0,0.020699679664015244,10.90219519169562,0
9,0.9952972,0.0,0.009899652,0.009899652,0.0014945782062914482,1.1400492025883588,0.0,0.021263354212944778,12.065002326703215,0
10,0.9952974,0.0,0.009899652,0.009899652,0.003329723026060652,1.1341855229315603,0.0,0.030269195054262878,13.2327867677151,0
11,0.99529463,0.0,0.009899652,0.009899652,0.003167012494601641,1.1280706304472579,0.0,0.031958483394101886,14.39598289405106,0
12,0.99529755,0.0,0.009899652,0.009899652,0.003227473456019088,1.1219460775123355,0.0,0.03187948191682655,15.553035926936243,0
13,0.9953013,0.0,0.009899652,0.009899652,0.0033188569340273366,1.115780496426926,0.0,0.032628945720138955,16.704764226017335,0
14,0.9952976,0.0,0.009899652,0.009899652,0.0036095257908843083,1.1096729012762523,0.0,0.031365777824083826,17.849412430908558,0
15,0.99529654,0.0,0.009899652,0.009899652,0.0009263584199011344,1.1025876876282437,0.0,0.02184191272033433,18.97476838967704,0
16,0.99529696,0.0,0.009899652,0.009899652,1.2667285692363704e-08,1.0945137245007968,0.0,0.011305627987252013,20.080587754832372,0
17,0.99529666,0.0,0.009899652,0.009899652,2.3080771542052465e-09,1.086512500303267,0.0,0.011201719229540504,21.178301976673257,0
18,0.99529654,0.0,0.009899652,0.009899652,2.405710294038998e-09,1.078572073264463,0.0,0.011116599961873705,22.267990652305304,0
19,0.9952965,0.0,0.009899652,0.009899652,0.001018594435065992,1.0720538284237842,0.0,0.019099296611441993,23.360162371775598,0
20,0.99529713,0.0,0.009899652,0.009899652,0.0030512837898829886,1.0664458517902247,0.0,0.02780997565224389,24.457469483007948,0
21,0.99529576,0.0,0.009899652,0.009899652,0.0008321784052990381,1.0597395892903447,0.0,0.019867588551553652,25.537908839255145,0
22,0.9952972,0.0,0.009899652,0.009899652,8.263170474912175e-09,1.0520741329763197,0.0,0.010737556375889308,26.600720536870526,0
23,0.9952962,0.0,0.009899652,0.009899652,4.037020573756909e-09,1.044387212799299,0.0,0.010761696944570425,27.655869450651416,0
24,0.99529606,0.0,0.009899652,0.009899652,3.968178868601983e-09,1.0367586954701782,0.0,0.01067992830458174,28.703308078394354,0
