group1,group2,meandiff,p-adj,lower,upper,reject
10,14,52.5248,0.0862,-5.2755,110.3251,False
10,15,5.3026,0.9986,-52.4977,63.1029,False
10,16,34.0881,0.4199,-23.7122,91.8884,False
10,20,102.7603,0.0003,44.96,160.5606,True
14,15,-47.2221,0.1442,-105.0224,10.5782,False
14,16,-18.4366,0.8719,-76.237,39.3637,False
14,20,50.2355,0.1081,-7.5648,108.0358,False
15,16,28.7855,0.5801,-29.0148,86.5858,False
15,20,97.4577,0.0005,39.6573,155.258,True
16,20,68.6722,0.0151,10.8719,126.4725,True
