swarm_size,run_id,total_cost,collisions,control_cost,alignment_cost,r2_total_cost,auc_control_cost,auc_alignment_cost,collisions_per_robot
10,1,1065454.834063878,6456,64.28160402981243,11.599668056517569,0.9532993306782361,63.860716182568325,11.58723534927723,645.6
10,2,2663225.4437414976,8456,58.26127031591808,9.943592313492081,0.8952464274553327,57.81154424972062,9.941763060643149,845.6
10,3,1102712.757867685,7551,56.2581530465846,14.073204213817132,0.9312115842655465,55.88224654160152,14.06840390776452,755.1
10,4,761533.1276129109,5302,56.76779204819779,9.38483919274948,0.8309743819030506,56.347111943851964,9.382074962805707,530.2
10,5,2488438.986438143,7575,61.624375996758154,7.196530340528209,0.9309736509464673,61.101549560228726,7.195007785738506,757.5
14,1,3093766.560345157,3191,154.2943001729381,12.302037594330962,0.9843215157219487,153.70163457297406,12.291501507440197,227.92857142857142
14,2,7292173.445532257,5195,123.98033241125971,10.55903021816618,0.9518097011500515,123.32721301002967,10.548109012673766,371.07142857142856
14,3,7308153.962386043,5638,90.27088617949316,12.767103764531019,0.898179134877125,89.67263003556955,12.763155432749333,402.7142857142857
14,4,7646645.1542278305,9248,93.02513013285608,14.505264593944972,0.9401752376031797,92.52310105524705,14.496228219241917,660.5714285714286
14,5,7604455.548948264,7563,98.94949734879484,12.467678937374671,0.9178555322957687,98.40240009850541,12.460645010931621,540.2142857142857
15,1,2602464.5362914805,13866,88.386469373961,9.304480080876308,0.9446677516542632,87.88642988228227,9.29592944108909,924.4
15,2,3740767.341243929,16596,56.23040731476376,5.696320778665535,0.9728313651376671,55.752211912458016,5.692093366929551,1106.4
15,3,2245580.6231358554,15137,78.90995478224477,6.963617593905624,0.9622740231724849,78.5448430783655,6.960287145577754,1009.1333333333333
15,4,294925.1442213728,2523,50.42290988509197,2.897033895977113,0.9461449525223468,49.91233273046393,2.8922230694905107,168.2
15,5,3070651.843477732,14715,49.935431978400494,6.029270575692261,0.9374477830798698,49.42054615093074,6.026320348408003,981.0
16,1,1960779.2856648513,14153,100.54356699161707,8.718951933115658,0.9651286255063997,99.76540975691805,8.716110727799332,884.5625
16,2,2242338.6563716326,7594,136.4624026409704,10.020058121934378,0.9727368496823884,135.75645783060085,10.012308197645408,474.625
16,3,2268853.8957746625,16873,42.41879797938173,8.996248242408367,0.9006198134103922,42.05330939042071,8.98933258963574,1054.5625
16,4,2800344.776573549,12188,117.31183153239309,9.404602760819126,0.96497314892747,116.56313831583266,9.399086287686462,761.75
16,5,1530979.7972558748,16344,71.80164567789973,8.841326088046445,0.9467376629662381,71.30541521185084,8.838062311296648,1021.5
20,1,7759901.415249903,7035,177.91250615138665,10.612265606324616,0.9548185830515419,177.68533104122616,10.609845335005023,351.75
20,2,7084582.65041066,14954,96.8528950362767,7.841258248157349,0.9499333966867797,96.73877745142498,7.8331677976436875,747.7
20,3,4565925.126987774,8673,129.93200384305976,10.716061919228824,0.967771464397596,129.69954949514562,10.70946002949131,433.65
20,4,2921722.209255186,3165,194.90612634382592,11.008264609017644,0.9891635310687972,194.5568633466415,11.001674791233494,158.25
20,5,4007713.1205636095,3143,210.51296693449902,11.207621365799959,0.9678154772202149,210.12411638645577,11.203699186804698,157.15
