group1,group2,meandiff,p-adj,lower,upper,reject
10,14,3.9257,0.0,2.0319,5.8194,True
10,15,8.2073,0.0,6.3136,10.1011,True
10,16,10.5216,0.0,8.6279,12.4153,True
10,20,13.3861,0.0,11.4924,15.2798,True
14,15,4.2817,0.0,2.388,6.1754,True
14,16,6.596,0.0,4.7022,8.4897,True
14,20,9.4604,0.0,7.5667,11.3542,True
15,16,2.3143,0.0121,0.4206,4.208,True
15,20,5.1788,0.0,3.285,7.0725,True
16,20,2.8645,0.0017,0.9708,4.7582,True
