swarm_size,run_id,total_cost,collisions,control_cost,alignment_cost,r2_total_cost,auc_control_cost,auc_alignment_cost,collisions_per_robot
10,3.0,2254480.6769148665,3714.8,5.4842708187193425,1.2456876297346962,0.8917609261001905,5.480777149897989,1.244742831666984,371.48
14,3.0,28476277.509352922,928691.4,9.423784141367904,0.5509344981610634,0.8757818726938179,9.40643670078659,0.5341803922610566,66335.1
15,3.0,2549292.3684267597,0.0,13.696615136354911,1.7066758663281203,0.9102011810272849,13.688119186234411,1.7061280339771554,0.0
16,3.0,3103505.837699488,16575.0,16.016719446230447,1.7749016468928773,0.9061293638073836,16.002398596458818,1.774071813489582,1035.9375
20,3.0,14228509.707480062,179720.2,18.877554282537762,1.4232750859538885,0.8751503242590765,18.866879597299835,1.423272672527268,8986.01
