timestep,alpha,beta,K,C,alignment_cost,path_cost,collision_cost,control_cost,total_cost,collisions
0,0.7853764153795116,0.6386504724896963,0.7410046890460356,0.7,0.0022013319219801077,1.0558668947943148,0.0,0.9691918221788547,2.0272600488951493,2
1,0.8068998751726638,0.6346229811612709,0.8,0.7,0.002169206270932807,1.0408686634249988,0.0,0.9607516871717762,4.031049605762857,2
2,0.8231584039150454,0.7155346713359587,0.8,0.7,0.0021796657202448875,1.0258437164605796,0.0,0.9471017070155925,6.006174694959274,2
3,0.839037086029858,0.7945164416776462,0.8,0.7,0.0021906526383890152,1.0108376794496279,0.0,0.9334502245335123,7.952653251580803,2
4,0.8542369228901014,0.8710895647425531,0.8,0.7,0.0022038727731649127,0.995849995141742,3.9088055578292225,0.9198171012081252,13.779329778533057,2
5,0.8687881130102827,0.9446260551919969,0.8,0.7,0.002219514854585162,0.9808796357974647,4.8987447986629125,0.9061990869404116,20.56737281478843,2
6,0.8827026018728119,1.0142997783235232,0.5167625277829436,0.5526790104275228,0.0020227335947999355,0.9659361822559799,5.846039294978666,0.6371148029388869,28.018485828556763,2
7,0.8961914139247951,1.0688621271851528,0.34481748081532704,0.41249667164712,0.0019347860381077537,0.9510819902452758,6.6439404702935745,0.4735902016838332,36.08903327681755,2
8,0.861476926941742,1.1083492892430498,0.5392793888369521,0.568631217830432,0.0022923087842909363,0.9361234223294107,7.792237880192977,0.6051952513943101,45.424882139518544,2
9,0.8773879031309619,1.1575529387744914,0.8,0.7,0.0023105361917990746,0.9211845480133019,8.853210731726124,0.8024953589629952,56.00408331441277,2
10,0.8898601799991662,1.1969509820637174,0.8,0.7,0.002335132542372056,0.9062583731741857,9.683051121365969,0.8382189159649215,67.43394685746021,2
11,0.8789719928876697,0.32720198314271437,0.8,0.7,0.0010137993219235728,0.9120425655964145,0.0,0.7787519514985668,69.12575517387712,3
12,0.8993459694590199,0.4179221215879231,0.8,0.7,0.00100227547762869,0.8973648009800922,0.0,0.7657486688160777,70.78987091915093,3
13,0.8912644774541874,0.5085350657609189,0.8,0.7,0.0010082222449792593,0.882716970678573,0.0,0.7533339855795235,72.42693009765401,3
14,0.8862529913661494,0.599013710261484,0.8,0.7,0.0010290198486497264,0.8681118960088355,0.0,0.7411255780176668,74.03719659152917,3
15,0.8811486830098153,0.6893225335459882,0.8,0.7,0.0011053499553105156,0.8535522188966125,0.0,0.7295924171272834,75.62144657750838,3
16,0.898901755540889,0.7794140269995322,0.8,0.7,0.001513986843651312,0.8398004899730735,0.0,0.7171870938321812,77.17994814815728,3
